Company,Modified DEI initatives,Made in El Salvador,Donated to Trump Campaign,Donated to Trump Inauguration,Donated to Biden Inauguration 2020,Notes
Boddingtons,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Bass,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Oranjeboom,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Leffe,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Hoegaarden,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
St. Pauli Girl,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Goose Island (Chicago),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Blue Point Brewing (New York),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Elysian Brewing (Seattle),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
10 Barrel Brewing (Oregon),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Four Peaks Brewing (Arizona),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Breckenridge Brewery (Colorado),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Golden Road Brewing (California),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Devil's Backbone (Virginia),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Karbach Brewing (Texas),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Wicked Weed (North Carolina),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Pirate Life Brewing (Australia),FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Anheuser-Busch
Diageo,FALSE,FALSE,FALSE,TRUE,FALSE,
Johnnie Walker,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
J&B,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Bell's,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Black & White,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Buchanan's,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Haig Club,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
White Horse,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Windsor,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
VAT 69,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Old Parr,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Dimple,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Dewar's Special Reserve,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Talisker,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Lagavulin,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Oban,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Dalwhinnie,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Cragganmore,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Glenkinchie,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Caol Ila,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Clynelish,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Cardhu,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Mortlach,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
"The Singleton (from Glen Ord, Glendullan, and Dufftown distilleries)",FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Royal Lochnagar,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Brora (reopened in 2021),FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Port Ellen (reopened in 2024),FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Bulleit Bourbon,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
George Dickel Tennessee Whisky,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Cascade Blonde American Whiskey,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
I.W. Harper,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Orphan Barrel (Rare whiskey collection),FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Roe & Co,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Crown Royal,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Smirnoff,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Cîroc,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Ketel One,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Pinky Vodka,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Gordon's,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Tanqueray,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Aviation American Gin,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Captain Morgan,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Ron Zacapa Centenario,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Bundaberg Rum (Australia),FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Don Julio,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Casamigos,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
DeLeón Tequila,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Astral Tequila,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Lobos 1707 (joint venture),FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Baileys Irish Cream,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Sheridan's,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Pimm's (reportedly for sale as of February 2024),FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Mr Black,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Guinness,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Smithwick's ,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Harp Lager,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Hop House 13,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Rockshore,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Diageo
Pepsi,TRUE,FALSE,FALSE,TRUE,TRUE,
Aquafina,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Pearl Milling Company,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Frito-Lay,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Lay's,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Fritos,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Quaker,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Mountain Dew,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
7UP,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Starry,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Tropicana,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Gatorade,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Rockstar Energy,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Lipton,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Cheetos,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Ruffles,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Tostitos,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Life,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Cap'n Crunch,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Cheetos,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Cracker Jack,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Mug Root Beer,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Grandma's ,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Izze,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Naked Juice,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Pasta Roni,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Rice-A-Roni,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Rold Gold,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Sabritas,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
SodaStream,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
SoBe,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
SunChips,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
Sabra,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of PepsiCo
